SERIE_CODE,SERIE_NAME,START_DATE
TP.FG.J0,0.GENEL (Tüketici),01-01-2003
TP.FG.J01,01.GIDA VE ALKOLSÜZ İÇECEKLER,01-01-2003
TP.FG.J011,011.GIDA,01-01-2003
TP.FG.J012,012.ALKOLSÜZ İÇECEKLER,01-01-2003
TP.FG.J02,02.ALKOLLÜ İÇECEKLER VE TÜTÜN,01-01-2003
TP.FG.J021,021.ALKOLLÜ İÇECEKLER,01-01-2003
TP.FG.J022,022.TÜTÜN,01-01-2003
TP.FG.J03,03.GİYİM VE AYAKKABI,01-01-2003
TP.FG.J031,031.GİYİM,01-01-2003
TP.FG.J032,032.AYAKKABI,01-01-2003
TP.FG.J04,"04.KONUT, SU, ELEKTRİK, GAZ VE DİGER YAKITLAR",01-01-2003
TP.FG.J041,041.GERÇEK KİRA,01-01-2003
TP.FG.J043,043.KONUTUN BAKIM VE ONARIMI,01-01-2003
TP.FG.J044,044.SU (SEBEKE SUYU) VE KONUTLA İLGİLİ ÇESİTLİ HİZMETLER,01-01-2003
TP.FG.J045,"045.ELEKTRIK, GAZ VE DİĞER YAKITLAR",01-01-2003
TP.FG.J05,"05.MOBİLYA, EV ALETLERİ VE EV BAKIM HİZMETLERİ",01-01-2003
TP.FG.J051,"051.MOBİLYA, MEFRUŞAT, HALI VE DİĞER YER DÖŞEMELERİ",01-01-2003
TP.FG.J052,052.EV İÇİ TEKSTİL,01-01-2003
TP.FG.J053,053.EV ALETLERİ,01-01-2003
TP.FG.J054,"054.ZUCCACİYE, YEMEK TAKIMI VE HANEHALKI ALETLERİ",01-01-2003
TP.FG.J055,055.EV VE BAHÇE ARAÇ GERECLERİ,01-01-2003
TP.FG.J056,056.EV BAKIM İÇİN MAL VE HİZMETLER,01-01-2003
TP.FG.J06,06.SAĞLIK,01-01-2003
TP.FG.J061,"061.TIBBİ ÜRÜNLER, ALETLER VE MALZEMELER",01-01-2003
TP.FG.J062,062.AYAKTA TEDAVİ HİZMETLERİ,01-01-2003
TP.FG.J063,063.YATAKLI TEDAVİ HİZMETLERİ,01-01-2003
TP.FG.J07,07.ULAŞTIRMA,01-01-2003
TP.FG.J071,071.ARAÇ SATIN ALIMI,01-01-2003
TP.FG.J072,072.KİŞİSEL ULAŞTIRMA ARAÇLARININ İŞLETİMİ,01-01-2003
TP.FG.J073,073.ULAŞTIRMA HİZMETLERİ,01-01-2003
TP.FG.J08,08.HABERLEŞME,01-01-2003
TP.FG.J081,081.POSTA HİZMETLERİ,01-01-2003
TP.FG.J082,082.TELEFON VE TELEFAKS EKİPMANI,01-01-2003
TP.FG.J083,083.TELEFON VE TELEFAKS HİZMETLERİ,01-01-2003
TP.FG.J09,09.EĞLENCE VE KÜLTÜR,01-01-2003
TP.FG.J091,"091.GÖRSEL_İŞİTSEL SİSTEMLE (AUDIO_VISUAL), FOTOGRAFLA VE VERİ İŞLEMLE İLE İLGİLİ EKİPMAN",01-01-2003
TP.FG.J092,092.DİĞER TEMEL DAYANIKLI EĞLENCE VE KÜLTÜR ARACLARI,01-01-2003
TP.FG.J093,"093.DİĞER EĞLENCE ARAÇLARI VE MALZEMELERİ, BAHÇE VE EVCİL HAYVANLARA İLİŞKİN ÜRÜNLER, HİZMETLER",01-01-2003
TP.FG.J094,094.EĞLENCE VE KÜLTÜR HİZMETLERİ,01-01-2003
TP.FG.J095,"095.GAZETE, KİTAP VE KIRTASİYE",01-01-2003
TP.FG.J096,096.PAKET TURLAR,01-01-2003
TP.FG.J10,10.EĞİTİM,01-01-2003
TP.FG.J101,101.OKUL ÖNCESİ EĞİTİM VE İLKÖĞRETİM,01-01-2003
TP.FG.J102,102.ORTA ÖĞRETİM,01-01-2003
TP.FG.J103,103.ORTA ÖĞRETİM SONRASI VE ÜNİVERSİTE ÖNCESİ EĞİTİM,01-01-2003
TP.FG.J104,104.ÜNİVERSİTE EĞİTİMİ,01-01-2003
TP.FG.J105,105.DÜZEYİ BELİRLENEMEYEN EĞİTİM PROGRAMLARI,01-01-2003
TP.FG.J11,11.LOKANTA VE OTELLER,01-01-2003
TP.FG.J111,111.YEMEK HİZMETLERİ,01-01-2003
TP.FG.J112,112.KONAKLAMA HİZMETLERİ,01-01-2003
TP.FG.J12,12.ÇEŞİTLİ MAL VE HİZMETLER,01-01-2003
TP.FG.J121,121.KİŞİSEL BAKIM,01-01-2003
TP.FG.J123,123.BAŞKA YERDE SINIFLANDIRILAMAYAN KİŞİSEL BAKIM ÜRÜNLERİ,01-01-2003
TP.FG.J124,124.SOSYAL HİZMETLER,01-01-2003
TP.FG.J125,125.SİGORTA,01-01-2003
TP.FG.J126,126.BAŞKA YERDE SINIFLANDIRILMAYAN MALİ HİZMETLER,01-01-2003
TP.FG.J127,127.BAŞKA YERDE SINIFLANDIRILMAYAN DİĞER HİZMETLER,01-01-2003
